assembly_id	File_prefix	biosample	Species	source	host	host_simple	isolation_year	region	Collection	mos_aic_source_specific	mos_aic_source_lab	location	mos_aic_lab_field	mosquito_spp
SKLX068131	GCA_025195285.1	SAMN15461182	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX068154	GCA_025195325.1	SAMN15461183	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX068287	GCA_025195265.1	SAMN15461184	Elizabethkingia anophelis	BAL	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX068413	GCA_025195245.1	SAMN15461185	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX068512	GCA_025195205.1	SAMN15461186	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX068607	GCA_025193455.1	SAMN15461187	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX068973	GCA_025193405.1	SAMN15461188	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX069007	GCA_025195185.1	SAMN15461189	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX069183	GCA_025195225.1	SAMN15461190	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX069295	GCA_025195145.1	SAMN15461191	Elizabethkingia anophelis	Pleural fluid	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX069338	GCA_025193385.1	SAMN15461192	Elizabethkingia anophelis	Abscess	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX069436	GCA_025193325.1	SAMN15461193	Elizabethkingia anophelis	Pleural fluid	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX069555	GCA_025193365.1	SAMN15461194	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX069902	GCA_025193305.1	SAMN15461195	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX070255	GCA_025193345.1	SAMN15461196	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX070663	GCA_025193285.1	SAMN15461197	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX070861	GCA_025193265.1	SAMN15461198	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX071365	GCA_025193225.1	SAMN15461199	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX071831	GCA_025193235.1	SAMN15461200	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
SKLX072651	GCA_025193205.1	SAMN15461201	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2018	Asia	Hu	NA	NA	NA	NA	NA
