gan_bank_accession_s	assembly	proposed_name	paper_name	host	host_alt	host_simple	collection	ncbi_isolation_source	isolation_manual	isolation_specific	link	MosAIC_source_specific	MosAIC_source_lab	Location 	MosAIC_lab_field	Mosquito_spp
NZ_ALNS01000000	GCF_000286655.1	E. cloacae complex	E. cloacae complex	Saccharum officinarum	NonMosquito	Plant	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWGU01000000	GCF_001052055.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWGT01000000	GCF_001052605.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVND01000000	GCF_001054835.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVMT01000000	GCF_001056255.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWAF01000000	GCF_001052895.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVWV01000000	GCF_001076175.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AYID01000000	GCF_000492435.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEET01000000	GCF_001022415.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEES01000000	GCF_001022655.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JMUU01000000	GCF_000692335.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYMH01000000	GCF_000968725.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_ATHX01000000	GCF_000467655.2	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JFHW01000000	GCF_000612205.1	E. cloacae complex	E. cloacae complex	unknown (oil well)	NonMosquito	Environmental	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JSZC01000000	GCF_000805795.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEDI01000000	GCF_001022755.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWPV01000000	GCF_000812425.1	E. cloacae complex	E. cloacae complex	unknown (water isolate)	NonMosquito	Environmental	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AYJO01000000	GCF_000493175.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKQ01000000	GCF_000534155.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LETR01000000	GCF_001030225.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JALR01000000	GCF_000564975.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWGB01000000	GCF_001053595.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWFZ01000000	GCF_001052095.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVVV01000000	GCF_001052565.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVVU01000000	GCF_001054275.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVVQ01000000	GCF_001054315.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVVP01000000	GCF_001053235.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVSF01000000	GCF_001054405.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVRL01000000	GCF_001055555.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_020181.1	NA	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDAZ01000000	GCF_001011415.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBB01000000	GCF_001011185.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBE01000000	GCF_001011205.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBF01000000	GCF_001011455.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBG01000000	GCF_001011265.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBQ01000000	GCF_001011175.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBU01000000	GCF_001011575.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JMUN01000000	GCF_000692195.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JMUO01000000	GCF_000692215.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKZ01000000	GCF_000534335.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKY01000000	GCF_000534315.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKO01000000	GCF_000534115.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKN01000000	GCF_000534095.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKM01000000	GCF_000534075.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JULT01000000	GCF_001059975.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDAY01000000	GCF_001011385.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBJ01000000	GCF_001011425.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBP01000000	GCF_001011615.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBR01000000	GCF_001011355.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBS01000000	GCF_001011545.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDCA01000000	GCF_001011815.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015663.1	NA	E. aerogenes	E. aerogenes	missing	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUXH01000000	GCF_001057945.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUQG01000000	GCF_001058645.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBV01000000	GCF_001011595.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_ARTC01000000	GCF_000383335.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBH01000000	GCF_001011295.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LESY01000000	GCF_001030055.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JSWV01000000	GCF_001006555.1	E. aerogenes	E. aerogenes	Momordica charantia	NonMosquito	Plant	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBA01000000	GCF_001011375.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBC01000000	GCF_001011255.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBD01000000	GCF_001011195.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBI01000000	GCF_001011305.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBK01000000	GCF_001011475.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBM01000000	GCF_001011535.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBW01000000	GCF_001011335.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBX01000000	GCF_001011935.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKV01000000	GCF_000534255.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKU01000000	GCF_000534235.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKP01000000	GCF_000534135.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBL01000000	GCF_001011495.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBN01000000	GCF_001011515.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBY01000000	GCF_001011795.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUHZ01000000	GCF_000802765.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBT01000000	GCF_001011645.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBZ01000000	GCF_001011915.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JMUM01000000	GCF_000692175.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDBO01000000	GCF_001011625.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JMUL01000000	GCF_000692155.1	E. aerogenes	E. aerogenes	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LECZ01000000	GCF_001022965.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUZQ01000000	GCF_001057675.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUZJ01000000	GCF_001077015.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JDWH01000000	GCF_000686185.1	E. cloacae complex	E. cloacae complex	missing	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JDWG01000000	GCF_000686165.1	E. cloacae complex	E. cloacae complex	missing	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWFJ01000000	GCF_001053635.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JWET01000000	GCF_001053725.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEEC01000000	GCF_001022355.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_018405.1	NA	E. kobei	E. kobei	Capsicum annuum	NonMosquito	Plant	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUTR01000000	GCF_001058415.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUQP01000000	GCF_001058605.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEEQ01000000	GCF_001023195.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEEK01000000	GCF_001023235.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEDW01000000	GCF_001022445.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AYJH01000000	GCF_000493035.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LFLG01000000	GCF_001190105.1	E. kobei	E. kobei	cabbage	NonMosquito	Plant	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVAE01000000	GCF_001057545.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUZK01000000	GCF_001057735.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVTR01000000	GCF_001053395.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEDC01000000	GCF_001022915.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AYJF01000000	GCF_000492995.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCLI01000000	GCF_000534515.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDCL01000000	GCF_001011975.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP009850.1	NA	E. kobei	E. kobei	unknown (sink drain)	NonMosquito	Environmental	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVFX01000000	GCF_001055165.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JMUQ01000000	GCF_000692255.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LDCJ01000000	GCF_001011785.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEEL01000000	GCF_001023295.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LECY01000000	GCF_001022995.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AYJI01000000	GCF_000493055.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JYME01000000	GCF_000952375.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCKW01000000	GCF_000534275.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JMUV01000000	GCF_000692355.1	E. kobei	E. kobei	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVSD01000000	GCF_001054435.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JCLB01000000	GCF_000534375.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEEJ01000000	GCF_001023305.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_AZXO01000000	GCF_000515295.1	E. cloacae complex	E. cloacae complex	plant leaves	NonMosquito	Plant	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LEDQ01000000	GCF_001022595.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVRK01000000	GCF_001054505.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVQZ01000000	GCF_001055645.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVQL01000000	GCF_001055805.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVQI01000000	GCF_001055835.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JVPP01000000	GCF_001054625.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUZN01000000	GCF_001055515.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JUZL01000000	GCF_001057695.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_JZDF01000000	GCF_000958885.1	E. cloacae complex	E. cloacae complex	Homo sapiens	NonMosquito	Homo sapiens	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010384	GCF_000814225.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010376	GCF_000814125.3	E. hormaechei subsp. steigerwaltii	E. hormaechei subsp. steigerwaltii	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012165	GCF_000807405.2	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP010377	GCF_000814205.1	E. hormaechei subsp. hormaechei	E. hormaechei subsp. hormaechei	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012167	GCF_000807425.2	E. hormaechei subsp. steigerwaltii	E. hormaechei subsp. steigerwaltii	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_CP012162	GCF_000807415.2	E. cloacae complex 'Hoffmann cluster IV'	E. cloacae complex 'Hoffmann cluster IV'	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LABD01000000	GCF_000957415.1	E. cloacae complex 'Hoffmann cluster IV'	E. cloacae complex 'Hoffmann cluster IV'	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LABC01000000	GCF_000956645.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LABB01000000	GCF_000957445.1	E. hormaechei subsp. steigerwaltii	E. hormaechei subsp. steigerwaltii	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LABA01000000	GCF_000957465.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAZ01000000	GCF_000956675.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAY01000000	GCF_000956655.1	E. hormaechei subsp. steigerwaltii	E. hormaechei subsp. steigerwaltii	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAX01000000	GCF_000957485.1	E. aerogenes	E. aerogenes	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAW01000000	GCF_000956665.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAV01000000	GCF_000957505.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAU01000000	GCF_000957525.1	E. aerogenes	E. aerogenes	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAT01000000	GCF_000957545.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAS01000000	GCF_000956725.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAR01000000	GCF_000956745.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAQ01000000	GCF_000957565.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAP01000000	GCF_000956765.1	E. asburiae	E. asburiae	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAO01000000	GCF_000956775.1	E. aerogenes	E. aerogenes	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAN01000000	GCF_000956805.1	E. hormaechei subsp. steigerwaltii	E. hormaechei subsp. steigerwaltii	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAM01000000	GCF_000957585.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
NZ_LAAL01000000	GCF_000957595.1	E. xiangfangensis	E. xiangfangensis	NA	NonMosquito	Missing	Chavda	NA	NA	NA	NA	NA	NA	NA	NA	NA
